,Bridges,Pipes,Roads,Population
0,46,354620.51568532456,152835.95300056436,45786
1,57,388419.3650693742,168653.6893551748,50340
2,59,429673.6738699222,184246.6440722754,54426
3,61,460782.9428769409,199349.75797042862,57708
4,68,505021.6887481909,217933.89144110674,63684
5,76,555359.6405513636,238250.1491420141,69636
6,76,594468.8609080797,254144.03470940195,74949
7,78,640191.8012794091,271546.5767640172,78768
8,78,675172.3352146328,286160.4331869696,81465
9,82,715349.9915237821,302291.80227626185,86208
10,81,749256.6833319368,315061.12074727623,88449
11,81,786638.7883999184,331650.7878865786,91341
12,80,817622.4801150034,345291.6294906938,94518
13,86,860558.0974168865,363070.64459797886,98895
14,93,902258.5567807363,380595.97230255895,100773
15,89,936029.5034051223,393116.50360181934,102075
16,94,979998.609720877,412214.1223444175,106599
17,103,1017495.7780862765,427482.54825178,109482
18,105,1065067.6814174992,446382.7710011835,112266
19,111,1103789.7802860208,463689.89805713523,115404
20,113,1133577.2979712342,478277.4887169205,119379
21,121,1167965.8371783427,493430.77556231065,121503
22,128,1211335.7799035865,512215.86695592984,124545
23,128,1234303.6829371285,521706.53183759283,125712
24,130,1264073.4909205334,534854.9963488248,127548
25,130,1292510.3651943905,547494.6021504018,129525
26,131,1314905.0264998577,560214.0145339128,131073
27,133,1346973.2462431325,573691.505275013,132423
28,134,1377034.3471894045,588908.7672155888,135033
29,135,1403439.31041734,599106.6174881135,136944
